"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","957","Debe mostrar error cuando el usuario está bloqueado","Login - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","166","Debe cargar correctamente la página de login","Login - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1128","Debe ordenar productos de A a Z","Inventory - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1612","Debe mostrar la página de información del checkout","Checkout - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1040","Debe mostrar la página de productos correctamente","Inventory - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1153","Debe mostrar el producto agregado en el carrito","Cart - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1228","Debe redirigir al checkout","Cart - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1903","Debe mostrar la página del carrito correctamente","Cart - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","937","Debe mostrar nombres de productos visibles","Inventory - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","978","Debe iniciar sesión con credenciales válidas","Login - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","531","Debe mostrar error cuando el usuario está vacío","Login - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1304","Debe cancelar el checkout y volver al carrito","Checkout - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1217","Debe permitir continuar comprando","Cart - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1161","Debe ordenar productos de Z a A","Inventory - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","2392","Debe finalizar una compra correctamente","Checkout - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1109","Debe remover un producto del carrito","Inventory - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1819","Debe mostrar error cuando postal code está vacío","Checkout - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","2305","Debe continuar al resumen con datos válidos","Checkout - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1219","Debe remover un producto desde el carrito","Cart - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","987","Debe mostrar error con contraseña incorrecta","Login - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","590","Debe mostrar error cuando el password está vacío","Login - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1387","Debe mostrar error cuando first name está vacío","Checkout - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1613","Debe mostrar error cuando last name está vacío","Checkout - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
"","1022","Debe agregar un producto al carrito","Inventory - SauceDemo","2026-07-06","passed","2026-07-06","","","",""
